recid,radate,assignmt,site,training,afdc,sex,class_tr,ojt_jsa,oth_serv,bdate,age,earnings,prevearn,married,pbhous,hsorged,black,hispanic,age2225,age2629,age3035,age3644,age4554,f2sms,wkless13
300082,12/06/88,0,JK,0,0,0,1,0,0,04/09/64,24,34728,10000,0,0,1,1,0,1,0,0,0,0,0,0
300084,06/28/88,0,HF,0,0,1,0,0,1,05/31/58,30,126,0,0,0,0,1,0,0,0,1,0,0,0,1
300085,02/23/89,1,SM,1,0,1,0,1,0,11/06/46,42,1763,2000,0,0,1,0,0,0,0,0,1,0,0,0
300087,05/17/89,0,PR,0,1,0,1,0,0,04/20/67,22,0,0,0,0,1,0,0,1,0,0,0,0,0,1
300090,11/17/88,1,CI,1,1,1,0,1,0,11/20/36,51,3541,1760,0,0,1,0,0,0,0,0,0,1,0,1
300091,02/18/88,1,JK,1,0,0,1,0,0,10/25/60,27,7028,30,0,0,1,1,0,0,1,0,0,0,0,1
300092,06/14/89,1,IN,1,0,1,0,1,0,11/21/66,22,4506,0,0,0,0,0,1,1,0,0,0,0,0,1
300095,05/20/88,1,IN,1,0,1,0,1,0,01/06/55,33,2203,1200,0,0,0,0,0,0,0,1,0,0,0,0
300096,05/05/88,0,MD,0,0,1,0,1,0,06/18/62,25,3765,2948,1,0,0.6876773,1,0,1,0,0,0,0,0,0
300097,11/23/88,1,CV,1,0,0,1,0,0,04/27/59,29,5475,0,0,0,1,0,0,0,1,0,0,0,1,1
300098,11/21/88,0,CV,0,1,0,0,0,1,04/06/62,26,12394,0,0.2111608,1,0,0,0,0,1,0,0,0,1,1
300099,01/07/88,1,MD,1,0,1,0,1,0,01/05/50,38,8372,0,0,0,1,1,0,0,0,0,1,0,0,1
300101,07/14/89,1,IN,1,0,0,0,1,0,01/09/59,30,11018,0,0,0,1,0,0,0,0,1,0,0,0,1
300103,03/15/89,0,IN,0,0,0,0,1,0,11/01/33,55,1109,0,0,0,1,0,0,0,0,0,0,0,1,1
300104,08/02/88,0,CC,0,0,1,0,1,0,01/07/50,38,75,1800,0,0,1,0,1,0,0,0,1,0,0,1
300105,09/21/88,0,CV,0,1,0,0,1,0,09/13/57,31,26944,0,0,0,1,1,0,0,0,1,0,0,1,1
300108,01/17/89,0,NE,0,0,0,0,1,0,07/01/66,22,2787,12000,0,1,1,1,0,1,0,0,0,0,0,0
300110,04/14/89,1,IN,1,0,1,0,0,1,12/23/64,24,11832,0,0,0.0643125,0.6876773,1,0,1,0,0,0,0,0,1
300113,05/26/88,1,LC,1,0,0,0,0,1,05/04/51,37,8127,3200,1,1,1,0,0,0,0,0,1,0,0,0
300114,06/01/88,0,CI,0,0,1,0,0,1,07/03/62,25,9579,4103.911,0,1,1,0,0,1,0,0,0,0,0,0
300115,08/31/88,0,IN,0,0,1,0,0,1,05/25/63,25,26525,14102,1,0,0,0,0,1,0,0,0,0,0,0
300119,01/29/88,1,IN,1,0,1,0,1,0,05/05/64,23,8860,1500,0,0,1,1,0,1,0,0,0,0,0,0
300122,06/09/89,1,IN,1,0,1,0,1,0,05/18/67,22,43596,11653,0,0,1,0,0,1,0,0,0,0,1,0
300123,07/15/88,1,IN,1,0,1,0,1,0,02/14/56,32,48727,1000,0,0,1,1,0,0,0,1,0,0,0,0.4073359
300125,02/25/88,1,IN,1,0,0,0,1,0,02/28/55,32,28029,0,1,0,1,0,0,0,0,1,0,0,1,1
300128,11/28/88,0,PR,0,1,0,1,0,0,01/05/53,35,20865,0,0.2111608,0,0,0,0,0,0,1,0,0,0,1
300129,01/08/88,1,IN,1,0,1,0,1,0,11/09/58,29,56089,5280,1,0,1,1,0,0,1,0,0,0,1,0
300131,12/08/88,1,OK,1,0,1,0,0,1,11/30/36,52,16042,4103.911,0,0,1,0,0,0,0,0,0,1,1,0
300133,07/06/88,1,CC,0,0,1,0,1,0,03/06/52,36,4310,1546,0,0,1,0,1,0,0,0,1,0,1,0
300134,05/23/89,1,PR,0,1,0,0,0,1,09/02/49,39,2952,0,0.2111608,0,0,0,1,0,0,0,1,0,0,1
300136,02/19/88,1,IN,1,0,0,1,0,0,07/26/50,37,23830,4500,0,0,1,1,0,0,0,0,1,0,0,0
300139,02/11/88,1,MD,0,1,0,0,1,0,02/20/61,26,13871,4421,0.2111608,1,1,0,0,0,1,0,0,0,0,0
300140,08/04/88,1,CI,1,0,1,1,0,0,07/24/65,23,9962,12088,0,0,1,0,0,1,0,0,0,0,0,0
300141,10/17/88,1,IN,0,0,1,0,0,1,01/30/65,23,14459,5500,0,0,0,0,0,1,0,0,0,0,0,0
300144,07/28/89,0,IN,0,0,0,0,0,1,12/24/59,29,3721,9000,0,0,1,0,0,0,1,0,0,0,0,0
300146,04/06/88,1,IN,0,1,0,0,1,0,09/19/65,22,6261,500,1,0,0,0,0,1,0,0,0,0,0,0
300153,09/29/88,0,IN,0,0,1,0,0,1,03/24/64,24,35676,4000,0,0,1,0,0,1,0,0,0,0,1,0
300154,05/19/88,1,PR,0,1,0,0,0,1,02/03/50,38,12758,0,0.2111608,0,1,0,1,0,0,0,1,0,0,1
300155,06/16/89,0,IN,0,0,1,0,1,0,11/09/63,25,0,4103.911,1,0.0643125,1,1,0,1,0,0,0,0,0,0
300156,09/23/88,1,IN,1,0,0,0,1,0,05/31/63,25,9003,8440,0,0,1,0,0,1,0,0,0,0,0,0
300158,09/19/88,0,HF,0,0,1,0,0,1,10/03/58,29,24135,100,0,0,0,1,0,0,1,0,0,0,0,1
300159,01/24/89,0,MN,0,0,1,1,0,0,07/22/63,25,2612,11490,1,0,0,0,0,1,0,0,0,0,0,0
300160,01/09/89,1,SM,0,0,1,0,1,0,01/23/66,22,698,2500,0,0,1,0,0,1,0,0,0,0,0,0
300161,02/29/88,1,CV,0,0,0,0,1,0,04/02/64,23,141,0,1,0,0,0,0,1,0,0,0,0,0,1
300163,03/01/88,1,JK,0,0,1,0,1,0,02/07/56,32,34593,6500,1,0,1,1,0,0,0,1,0,0,0,0
300165,01/26/89,0,OK,0,0,1,0,0,1,04/15/59,29,17171,4103.911,0,0,1,1,0,0,1,0,0,0,1,0
300166,06/03/88,0,IN,0,0,1,0,1,0,02/21/61,27,252,4103.911,0,1,1,0,0,0,1,0,0,0,0,0
300169,02/16/88,1,CV,1,0,1,0,1,0,08/22/65,22,10840,6000,0.3352851,0,1,0,0,1,0,0,0,0,0,0
300171,06/26/89,0,CI,0,0,1,1,0,0,07/30/66,22,0,1927,0,0,0,0,0,1,0,0,0,0,0,0
300172,08/24/89,1,LC,1,0,1,0,0,1,06/01/65,24,0,150,0,0,0,0,0,1,0,0,0,0,0,1
300173,10/24/88,1,CC,0,0,1,0,1,0,08/23/66,22,27431,8000,1,0,1,0,0,1,0,0,0,0,0,0
300174,04/22/88,0,IN,0,0,0,0,0,1,12/02/12,75,0,0,0,0,0,0,0,0,0,0,0,0,0,1
300175,05/04/88,1,IN,1,0,0,0,1,0,01/04/33,55,0,8750,0,0,1,0,0,0,0,0,0,0,0,0
300176,09/15/89,0,PR,0,1,0,0,0,1,10/10/58,30,0,0,0.2111608,0,1,0,1,0,0,1,0,0,0,1
300178,07/29/88,1,OH,0,0,1,0,1,0,03/27/55,33,30,4103.911,0,0,1,0,0,0,0,1,0,0,1,1
300181,12/01/88,1,CC,0,0,0,0,1,0,07/11/49,39,1929,422,0,0,1,0,0,0,0,0,1,0,0,1
300182,11/22/88,1,SM,0,0,1,0,1,0,02/04/51,37,0,3815,0,0,1,0,0,0,0,0,1,0,0,1
300187,03/18/88,1,JK,1,0,1,1,0,0,12/15/56,31,90483,2000,0.3352851,0,1,1,0,0,0,1,0,0,0,1
300188,06/09/88,1,HF,0,0,1,0,0,1,04/15/56,32,2940,4103.911,0,0,1,1,0,0,0,1,0,0,1,0
300189,06/02/88,0,SM,0,1,0,0,1,0,03/14/63,25,19344,1000,0,0,1,0,0,1,0,0,0,0,0,0
300191,02/12/88,1,CC,1,0,0,0,0,1,11/25/65,22,3900,2444.656,0,0,0,0,1,1,0,0,0,0,1,1
300192,06/30/89,1,IN,0,0,0,0,0,1,05/31/61,28,47184,15000,0,0,1,1,0,0,1,0,0,0,0,0
300193,06/22/89,0,NE,0,0,1,1,0,0,06/09/55,34,1008,212,0,0,1,0,0,0,0,1,0,0,0,1
300196,02/10/89,1,IN,1,0,1,0,0,1,02/02/58,31,3830,4103.911,0.3352851,0,1,1,0,0,0,1,0,0,0,0
300201,07/12/89,1,IN,1,0,1,0,1,0,10/10/64,24,45677,4103.911,1,0,0,0,0,1,0,0,0,0,0,0.4073359
300202,08/31/88,1,MT,0,0,0,0,0,1,09/30/62,25,22026,6000,0,0,1,0,0,1,0,0,0,0,1,0
300207,04/22/88,1,JK,1,0,1,1,0,0,04/06/63,25,19501,7000,1,0,1,1,0,1,0,0,0,0,1,0
300209,05/12/88,0,IN,0,0,1,0,1,0,09/01/55,32,60007,10000,1,0,1,0,0,0,0,1,0,0,0,0
300212,03/16/89,0,LC,0,0,1,0,0,1,06/11/45,43,13383,5500,0,0,1,0,0,0,0,0,1,0,0,0
300214,01/06/89,1,SM,1,0,1,0,1,0,02/02/64,24,42547,11000,0,0,1,0,0,1,0,0,0,0,0,0
300215,02/08/88,1,LC,1,0,1,0,0,1,05/27/62,25,9285,2300,0,0,1,0,0,1,0,0,0,0,0,1
300218,09/27/88,1,JK,1,0,1,1,0,0,02/10/62,26,2769,4000,0,0,1,1,0,0,1,0,0,0,0,0
300220,08/23/88,0,MN,0,0,0,1,0,0,04/09/64,24,22820,450,0,0,1,0,0,1,0,0,0,0,0,0
300221,01/20/88,0,IN,0,0,1,0,1,0,07/07/58,29,6119,1300,0,0,1,0,0,0,1,0,0,0,0,0
300222,10/25/88,0,CV,0,0,1,0,1,0,12/30/33,54,8952,0,1,0,0,0,0,0,0,0,0,1,0,1
300223,12/20/88,1,SM,0,0,0,0,1,0,10/26/56,32,8244,2444.656,1,0,1,0,0,0,0,1,0,0,0,0.5332298
300225,09/02/88,1,IN,0,0,1,0,1,0,12/04/57,30,11797,5500,0,0,1,0,0,0,0,1,0,0,1,0
300228,09/07/88,0,JK,0,0,1,1,0,0,07/27/66,22,53103,12000,1,0,0.6876773,1,0,1,0,0,0,0,0,0
300229,06/08/88,0,IN,0,1,0,0,1,0,12/25/55,32,6432,2000,0,0,1,0,0,0,0,1,0,0,0,0
300232,04/20/89,1,PR,1,1,0,0,0,1,07/14/50,38,0,0,1,0,0,0,0,0,0,0,1,0,0,1
300234,12/14/88,1,JK,1,1,0,1,0,0,02/05/66,22,0,0,0,0,0,1,0,1,0,0,0,0,1,1
300238,01/27/89,1,IN,1,1,0,0,1,0,03/17/59,29,20014,700,1,0,1,0,0,0,1,0,0,0,0,1
300239,03/16/88,0,CV,0,1,0,1,0,0,11/11/56,31,0,0,0.2111608,0,0,0,0,0,0,1,0,0,0,1
300241,01/04/89,1,CC,1,0,1,0,1,0,01/13/58,30,26700,4103.911,1,0,1,0,1,0,0,1,0,0,0,0.4073359
300242,06/23/89,1,IN,0,1,0,0,0,1,09/12/59,29,16194,2444.656,0,0,0.716404,1,0,0,1,0,0,0,1,0
300243,11/23/88,1,NE,0,0,1,1,0,0,06/21/66,22,51495,4875,0,0,0,0,0,1,0,0,0,0,0,0
300245,06/17/88,0,IN,0,0,1,0,0,1,04/21/57,31,3423,4103.911,0,0,0.6876773,1,0,0,0,1,0,0,0,0
300246,03/08/89,1,IN,1,0,1,1,0,0,05/10/10,78,13500,0,1,0,1,0,0,0,0,0,0,0,0,1
300247,01/14/88,1,LC,1,0,0,1,0,0,09/22/46,41,2874,3000,1,0,1,0,0,0,0,0,1,0,0,1
300248,11/10/88,1,IN,0,0,1,0,1,0,03/05/61,27,45968,2856,0,0,0.6876773,0,0,0,1,0,0,0,0,1
300250,01/10/89,0,CC,0,0,1,1,0,0,02/07/65,23,29458,9625,1,1,1,0,1,1,0,0,0,0,1,0
300252,09/23/88,1,CV,1,0,0,1,0,0,08/02/58,30,24365,600,0.2111608,0,1,0,0,0,0,1,0,0,1,0
300253,11/30/88,1,JK,1,0,1,1,0,0,11/01/58,30,3999,10000,0.3352851,0,1,1,0,0,0,1,0,0,0,0
300256,12/16/87,1,IN,0,0,0,0,1,0,04/18/55,32,43734,6500,0,0,0,0,0,0,0,1,0,0,0,0
300257,02/19/88,0,CC,0,0,1,0,0,1,12/19/51,36,83989,10000,0,0,1,0,1,0,0,0,1,0,1,1
300258,09/29/88,1,IN,1,0,1,0,0,1,12/26/63,24,4881,4103.911,0,0,0,0,0,1,0,0,0,0,0,0
300259,03/29/89,0,CI,0,0,1,1,0,0,03/14/48,41,0,19000,1,0,1,0,0,0,0,0,1,0,0,0
300260,03/09/88,0,IN,0,0,0,0,1,0,01/29/35,53,0,2444.656,0,0,1,0,0,0,0,0,0,1,0,0.5332298
300265,09/19/88,0,CV,0,0,0,0,1,0,08/15/51,37,37122,3000,1,0,0.716404,0,0,0,0,0,1,0,0,0
300266,12/11/87,1,IN,0,1,0,0,0,1,02/18/64,23,40305,1024,1,0,0,0,0,1,0,0,0,0,0,0.5332298
300270,07/07/88,1,CV,0,0,1,0,0,1,12/26/64,23,225,4103.911,0,0,1,1,0,1,0,0,0,0,1,1
300273,04/15/88,0,OH,0,0,1,0,1,0,07/15/13,74,2824,5000,1,0,1,0,0,0,0,0,0,0,1,1
300274,03/16/88,0,CV,0,1,0,0,1,0,09/12/57,30,10371,0,0,0,0,1,0,0,0,1,0,0,0,1
300276,07/13/89,1,LC,1,1,0,1,0,0,09/08/54,34,25585,0,0,1,1,0,1,0,0,1,0,0,0,0
300279,01/11/89,1,PR,1,0,1,1,0,0,06/27/47,41,17470,8120,1,0,0,0,1,0,0,0,1,0,1,0
300282,10/04/88,1,CV,1,0,0,1,0,0,10/18/49,38,0,2444.656,0,0,0,0,0,0,0,0,1,0,0,1
300283,11/02/88,0,PR,0,1,0,1,0,0,06/07/49,39,5854,350,0.2111608,1,1,1,0,0,0,0,1,0,1,1
300287,02/03/89,0,IN,0,0,1,0,0,1,02/09/61,27,10047,86,0,0,1,0,0,0,1,0,0,0,0,0
300288,09/11/89,0,LC,0,0,0,0,0,1,04/06/51,38,62424,14665,0,0,1,0,0,0,0,0,1,0,0,0
300289,11/16/88,1,CV,1,0,1,0,1,0,07/17/59,29,13023,4103.911,0.3352851,0,0.6876773,0,0,0,1,0,0,0,1,0
300290,03/15/89,1,MN,1,0,1,0,1,0,01/17/26,63,0,1045,0,0,0,0,0,0,0,0,0,0,0,1
300292,05/19/88,1,PR,0,0,1,0,0,1,08/30/59,28,0,0,0,0,0,1,0,0,1,0,0,0,1,1
300293,03/17/89,1,IN,0,0,1,0,0,1,01/14/62,27,4302,4103.911,0,0,1,1,0,0,1,0,0,0,0,0
300294,07/31/89,1,LC,1,0,0,1,0,0,12/05/61,27,26214,5730,0,0,1,0,0,0,1,0,0,0,0,0
300298,12/06/88,0,CC,0,0,0,0,1,0,03/01/66,22,17943,2400,1,0,1,0,1,1,0,0,0,0,0,0
300301,07/19/88,0,JK,0,0,1,1,0,0,09/14/47,40,0,6000,0,0,1,0,0,0,0,0,1,0,1,0
300302,08/09/89,1,IN,0,0,0,0,1,0,01/07/50,39,12586,1000,0,0,0,0,0,0,0,0,1,0,0,0
300303,12/29/88,1,MN,0,0,1,0,1,0,07/18/34,54,5637,0,0,0,0,0,0,0,0,0,0,1,0,1
300305,08/26/88,0,MN,0,0,0,0,1,0,04/29/20,68,1935,0,1,0,0,0,0,0,0,0,0,0,0,1
300306,06/03/88,1,IN,0,0,1,0,0,1,09/20/38,49,11619,2112,0.3352851,0,1,1,0,0,0,0,0,1,1,1
300307,02/15/89,1,SM,0,0,1,0,1,0,10/23/62,26,5992,2725,0,0,1,0,0,0,1,0,0,0,0,0
300308,08/31/89,0,LC,0,0,1,0,0,1,05/16/47,42,2993,1100,0,0,1,0,0,0,0,0,1,0,1,1
300309,11/30/88,0,SM,0,0,1,0,1,0,09/06/47,41,0,671,0,0,1,0,0,0,0,0,1,0,0,1
300310,09/29/88,1,IN,0,0,0,0,1,0,08/03/54,34,22614,130,0,0,0,0,0,0,0,1,0,0,0,0.5332298
300312,02/12/88,1,IN,0,0,0,0,0,1,01/22/51,37,30894,2444.656,1,0,1,0,0,0,0,0,1,0,0,0
300316,11/28/88,1,SM,1,0,0,1,0,0,01/05/56,32,22636,5200,0,0,1,0,0,0,0,1,0,0,0,0
300317,01/10/89,1,CC,0,0,0,0,1,0,06/15/51,37,22895,3000,1,0,1,0,0,0,0,0,1,0,0,0
300318,07/28/89,1,IN,0,0,0,0,0,1,08/18/57,31,9343,11475,0,0,1,1,0,0,0,1,0,0,1,0
300320,01/13/88,1,IN,0,0,0,0,1,0,01/30/33,54,17181,8786,0,0,1,0,0,0,0,0,0,1,1,0
300322,01/24/89,1,SM,1,0,0,1,0,0,07/30/56,32,1611,550,1,0,1,0,0,0,0,1,0,0,0,0
300325,08/19/88,0,OH,0,1,0,1,0,0,12/01/64,23,1455,0,0,1,1,0,0,1,0,0,0,0,1,1
300326,04/06/88,1,LC,1,0,1,0,0,1,07/06/63,24,14757,0,0,0,1,0,0,1,0,0,0,0,1,1
300327,11/30/88,1,NE,0,1,0,1,0,0,10/23/50,38,0,3792,0,0,1,1,0,0,0,0,1,0,0,0
300330,07/29/88,1,IN,0,0,1,0,1,0,12/13/61,26,11636,300,0,0,0,0,0,0,1,0,0,0,0,0
300331,05/17/89,1,NE,1,1,0,0,0,1,01/10/55,34,201,200,0,0,1,0,0,0,0,1,0,0,0,1
300332,06/08/89,1,NE,0,0,1,0,1,0,05/18/61,28,17739,0,0,0,1,1,0,0,1,0,0,0,0,1
300333,02/23/88,0,PR,0,0,1,0,1,0,10/02/48,39,8284,2800,0,0,1,0,0,0,0,0,1,0,1,0
300335,03/07/88,1,CV,0,0,0,0,1,0,06/25/20,67,0,2444.656,1,0,1,0,0,0,0,0,0,0,0,0
300336,07/26/89,1,IN,1,1,0,0,1,0,05/21/61,28,31312,5400,0,0.1153066,1,0,0,0,1,0,0,0,0,0
300337,10/11/88,1,JK,1,0,1,1,0,0,04/06/53,35,17038,1400,0,0,1,1,0,0,0,1,0,0,0,0
300340,10/26/88,1,NE,1,0,1,0,1,0,08/08/51,37,325,0,0,1,1,0,0,0,0,0,1,0,1,1
300343,09/08/88,1,LC,1,0,1,1,0,0,12/31/56,31,17160,15000,1,0,1,0,0,0,0,1,0,0,0,0
300344,12/08/88,1,PR,1,0,0,1,0,0,03/06/54,34,19329,3800,1,0,0.716404,0,1,0,0,1,0,0,0,0
300345,05/26/89,0,IN,0,0,0,0,0,1,02/24/41,48,15841,7500,0,0,0.716404,0,0,0,0,0,0,1,0,0.5332298
300346,05/17/88,0,HF,0,0,1,0,1,0,01/03/54,34,7551,2100,0,0,1,0,0,0,0,1,0,0,0,0
300347,02/26/88,1,JK,1,1,0,0,1,0,06/23/48,39,15,2444.656,0,0,1,1,0,0,0,0,1,0,1,0.5332298
300351,08/01/88,1,CV,0,0,1,0,0,1,01/06/61,27,4939,4103.911,0,0,0,0,0,0,1,0,0,0,0,0
300352,09/28/89,1,PR,0,0,1,0,0,1,09/20/49,40,65781,4103.911,1,0,0.6876773,0,0,0,0,0,1,0,0,0
300353,03/15/89,0,IN,0,0,1,0,1,0,09/29/48,40,1956,3900,1,0,0,0,0,0,0,0,1,0,0,0
300355,02/25/88,1,MD,1,0,0,0,1,0,08/02/63,24,0,5000,0,0,1,1,0,1,0,0,0,0,0,0
300356,02/05/88,1,CV,0,0,1,0,0,1,01/08/65,23,4446,98,0,0,1,0,0,1,0,0,0,0,0,0.4073359
300359,07/20/88,1,CI,1,1,1,0,1,0,02/21/61,27,9449,5915,1,0,0,0,0,0,1,0,0,0,0,0
300360,04/21/89,1,IN,0,0,0,0,0,1,12/12/51,37,31774,1300,0.2111608,0,1,0,0,0,0,0,1,0,0,1
300361,08/03/88,0,MN,0,0,0,1,0,0,02/03/58,30,15361,2444.656,0,0,1,0,0,0,0,1,0,0,0,0.5332298
300362,01/04/89,1,CI,1,0,0,1,0,0,04/13/60,28,27546,0,1,0,1,0,0,0,1,0,0,0,0,1
300363,01/21/88,1,CV,0,0,1,0,0,1,11/26/60,27,1440,400,0.3352851,0,0,0,0,0,1,0,0,0,0,1
300366,06/17/88,1,IN,1,0,1,0,0,1,10/28/63,24,14295,300,0,0,1,1,0,1,0,0,0,0,0,0.4073359
300367,01/29/88,0,IN,0,0,1,0,1,0,07/12/61,26,57159,4103.911,1,0,1,0,1,0,1,0,0,0,0,0
300368,04/07/88,0,MD,0,1,0,1,0,0,12/10/48,39,285,2444.656,0,0,0,1,0,0,0,0,1,0,0,0.5332298
300372,11/22/88,1,NE,1,0,1,1,0,0,02/29/56,32,7898,3235,0,0,0,0,0,0,0,1,0,0,1,0
300373,04/21/88,0,IN,0,0,0,0,1,0,03/25/28,60,34745,7000,0,0,1,0,0,0,0,0,0,0,1,0
300375,04/27/88,0,LC,0,0,0,1,0,0,09/18/56,31,3779,4000,0.2111608,0,1,0,0,0,0,1,0,0,1,0.5332298
300376,04/29/88,1,CV,1,0,0,1,0,0,04/19/61,27,247,150,1,0,1,0,0,0,1,0,0,0,0,1
300380,11/23/88,0,IN,0,1,0,0,1,0,06/25/65,23,22289,2808,0,0,1,1,0,1,0,0,0,0,0,0
300381,03/28/89,1,IN,1,0,1,0,1,0,11/10/52,36,8550,6000,1,0,1,0,0,0,0,0,1,0,0,0.4073359
